,ttf,avg_ratio
31377,ICE_1Minute_1Day,7_22_8
32184,ICE_5Minute_5Day,7_19_9
31914,ICE_30Minute_1Month,7_17_9
31104,ICE_1Hour_3Month,7_16_10
31605,ICE_2Hour_6Month,9_26_12
30790,ICE_1Day_1Year,10_27_12
57291,SBUX_1Minute_1Day,7_21_9
58098,SBUX_5Minute_5Day,7_17_9
57775,SBUX_30Minute_1Month,8_22_11
57018,SBUX_1Hour_3Month,7_16_10
57519,SBUX_2Hour_6Month,8_28_11
56751,SBUX_1Day_1Year,7_23_8
75111,WCN_1Minute_1Day,7_21_11
75921,WCN_5Minute_5Day,7_21_9
75648,WCN_30Minute_1Month,7_19_10
74844,WCN_1Hour_3Month,7_19_9
75378,WCN_2Hour_6Month,7_17_9
74514,WCN_1Day_1Year,9_21_11
13554,BABA_1Minute_1Day,7_17_9
14364,BABA_5Minute_5Day,7_18_8
14094,BABA_30Minute_1Month,8_16_10
13251,BABA_1Hour_3Month,10_29_12
13883,BABA_2Hour_6Month,8_24_9
13015,BABA_1Day_1Year,7_19_9
45979,NSC_1Minute_1Day,7_26_10
46758,NSC_5Minute_5Day,7_17_9
46434,NSC_30Minute_1Month,8_17_10
45678,NSC_1Hour_3Month,7_16_9
46221,NSC_2Hour_6Month,7_18_9
45381,NSC_1Day_1Year,10_27_12
67038,TEVA_1Minute_1Day,7_23_10
67864,TEVA_5Minute_5Day,7_28_9
67548,TEVA_30Minute_1Month,7_16_9
66738,TEVA_1Hour_3Month,7_18_9
67278,TEVA_2Hour_6Month,7_18_9
66419,TEVA_1Day_1Year,9_20_11
32997,LULU_1Minute_1Day,7_19_10
33804,LULU_5Minute_5Day,7_17_9
33576,LULU_30Minute_1Month,8_29_11
32725,LULU_1Hour_3Month,7_19_9
33300,LULU_2Hour_6Month,7_29_9
32491,LULU_1Day_1Year,7_25_10
78351,XEL_1Minute_1Day,7_26_9
79158,XEL_5Minute_5Day,7_17_9
78910,XEL_30Minute_1Month,7_27_11
78024,XEL_1Hour_3Month,10_18_11
78618,XEL_2Hour_6Month,7_16_9
77785,XEL_1Day_1Year,9_29_10
10370,AWK_1Minute_1Day,7_29_10
11127,AWK_5Minute_5Day,7_21_10
10854,AWK_30Minute_1Month,7_17_9
10044,AWK_1Hour_3Month,7_18_9
10559,AWK_2Hour_6Month,10_30_12
9774,AWK_1Day_1Year,7_17_9
55668,RIO_1Minute_1Day,7_17_9
56478,RIO_5Minute_5Day,7_17_9
56174,RIO_30Minute_1Month,10_27_12
55398,RIO_1Hour_3Month,7_17_9
55945,RIO_2Hour_6Month,7_20_10
55167,RIO_1Day_1Year,7_27_9
62094,SOFI_1Minute_1Day,10_18_11
62904,SOFI_5Minute_5Day,10_18_11
62634,SOFI_30Minute_1Month,10_18_11
61824,SOFI_1Hour_3Month,10_18_11
62364,SOFI_2Hour_6Month,10_18_11
61554,SOFI_1Day_1Year,10_18_11
70256,UBER_1Minute_1Day,7_25_9
71060,UBER_5Minute_5Day,7_17_10
70743,UBER_30Minute_1Month,9_25_11
69981,UBER_1Hour_3Month,7_24_8
70521,UBER_2Hour_6Month,7_19_10
69708,UBER_1Day_1Year,7_17_9
21654,FCX_1Minute_1Day,7_18_9
22486,FCX_5Minute_5Day,7_23_10
22196,FCX_30Minute_1Month,7_18_10
21351,FCX_1Hour_3Month,8_27_10
21924,FCX_2Hour_6Month,7_19_9
21115,FCX_1Day_1Year,7_20_9
5501,AER_1Minute_1Day,7_27_11
6264,AER_5Minute_5Day,7_18_9
5997,AER_30Minute_1Month,7_21_10
5215,AER_1Hour_3Month,7_29_10
5724,AER_2Hour_6Month,7_20_8
4915,AER_1Day_1Year,8_22_9
606,AAPL_1Minute_1Day,7_22_9
1406,AAPL_5Minute_5Day,7_21_9
1155,AAPL_30Minute_1Month,7_22_11
324,AAPL_1Hour_3Month,7_18_9
864,AAPL_2Hour_6Month,7_16_9
54,AAPL_1Day_1Year,8_16_10
3834,ADT_1Minute_1Day,7_21_9
4644,ADT_5Minute_5Day,7_19_9
4327,ADT_30Minute_1Month,8_25_12
3586,ADT_1Hour_3Month,8_21_11
4104,ADT_2Hour_6Month,7_17_9
3245,ADT_1Day_1Year,10_24_11
50811,OXY_1Minute_1Day,7_21_8
51635,OXY_5Minute_5Day,7_24_10
51350,OXY_30Minute_1Month,7_19_10
