,ttf,blocktime,macd_fast,macd_slow,macd_smooth,winratio,maxprofit
0,ADT_30Minute_1Month,afternoon_2-4,10,26,11,1.0,0.08692475373461184
1,ADT_30Minute_1Month,lunch_11-2,10,26,11,1.0,0.04221933857126387
2,ADT_30Minute_1Month,morning_9-11,10,26,11,1.0,0.006311360448807844
3,SOFI_30Minute_1Month,afternoon_2-4,8,21,11,1.0,0.07038213956677927
4,SOFI_30Minute_1Month,lunch_11-2,8,21,11,1.0,0.035347391730370624
5,SOFI_30Minute_1Month,morning_9-11,8,21,11,1.0,0.24293369685871027
6,TEVA_30Minute_1Month,afternoon_2-4,7,32,10,1.0,0.031958983763407736
7,TEVA_30Minute_1Month,lunch_11-2,7,32,10,1.0,0.04696073677986062
8,TEVA_30Minute_1Month,morning_9-11,7,32,10,1.0,0.021312166605935445
9,VZ_5Minute_5Day,afternoon_2-4,8,29,11,1.0,0.00827410066386922
10,VZ_5Minute_5Day,lunch_11-2,8,29,11,1.0,0.004542680750366769
11,VZ_5Minute_5Day,morning_9-11,8,29,11,1.0,0.016428894574515896
12,GOOG_1Day_1Year,Day,7,31,9,1.0,0.46845381368786604
13,ICE_1Minute_1Day,afternoon_2-4,11,15,12,1.0,0.0023433839885312873
14,ICE_1Minute_1Day,lunch_11-2,11,15,12,1.0,0.0048584898357118735
15,ICE_1Minute_1Day,morning_9-11,11,15,12,1.0,0.005809564714534759
16,VST_1Hour_3Month,afternoon_2-4,8,29,10,1.0,0.38125283386972575
17,VST_1Hour_3Month,lunch_11-2,8,29,10,1.0,0.08702518183357008
18,VST_1Hour_3Month,morning_9-11,8,29,10,1.0,0.2886548335128932
19,QQQ_1Day_1Year,Day,10,20,11,1.0,0.375639367113057
20,AES_1Hour_3Month,afternoon_2-4,7,18,11,1.0,0.20515410473965784
21,AES_1Hour_3Month,lunch_11-2,7,18,11,1.0,0.060975741572749945
22,AES_1Hour_3Month,morning_9-11,7,18,11,1.0,0.08043039850283847
23,OXY_30Minute_1Month,afternoon_2-4,7,15,9,1.0,0.07411223852111043
24,OXY_30Minute_1Month,lunch_11-2,7,15,9,1.0,0.07812218942851894
25,OXY_30Minute_1Month,morning_9-11,7,15,9,1.0,0.003235468296791953
26,AZN_5Minute_5Day,afternoon_2-4,9,24,11,1.0,0.004259104834750853
27,AZN_5Minute_5Day,lunch_11-2,9,24,11,1.0,0.013899296284361026
28,AZN_5Minute_5Day,morning_9-11,9,24,11,1.0,0.0071319436372843485
29,GOLD_2Hour_6Month,afternoon_2-4,9,27,10,1.0,0.17909218077543265
30,GOLD_2Hour_6Month,lunch_11-2,9,27,10,1.0,0.10243841354303157
31,GOLD_2Hour_6Month,morning_9-11,9,27,10,1.0,0.2776965004373479
32,CRM_2Hour_6Month,afternoon_2-4,7,22,9,1.0,0.15391876231621548
33,CRM_2Hour_6Month,lunch_11-2,7,22,9,1.0,0.08381336047200101
34,CRM_2Hour_6Month,morning_9-11,7,22,9,1.0,0.1912351779447658
35,TSLA_1Hour_3Month,afternoon_2-4,11,23,12,1.0,0.005174152486039664
36,TSLA_1Hour_3Month,lunch_11-2,11,23,12,1.0,0.06631050097463817
37,TSLA_1Hour_3Month,morning_9-11,11,23,12,1.0,0.2906066381324897
38,ETR_1Hour_3Month,afternoon_2-4,8,16,9,1.0,0.09069296724223982
39,ETR_1Hour_3Month,lunch_11-2,8,16,9,1.0,0.04557594729730295
40,ETR_1Hour_3Month,morning_9-11,8,16,9,1.0,0.048938164875823975
41,MCD_30Minute_1Month,afternoon_2-4,7,15,8,1.0,0.015909454111270722
42,MCD_30Minute_1Month,lunch_11-2,7,15,8,1.0,0.031186714050320852
43,MCD_30Minute_1Month,morning_9-11,7,15,8,1.0,0.029583296231434197
44,GOLD_1Hour_3Month,afternoon_2-4,9,15,10,1.0,0.05614719916183669
45,GOLD_1Hour_3Month,lunch_11-2,9,15,10,1.0,0.19049125551910273
46,GOLD_1Hour_3Month,morning_9-11,9,15,10,1.0,0.16000015989890898
47,HD_1Minute_1Day,afternoon_2-4,10,19,11,1.0,0.007812854001650351
48,HD_1Minute_1Day,lunch_11-2,10,19,11,1.0,0.013962471973709135
49,HD_1Minute_1Day,morning_9-11,10,19,11,1.0,0.004983118366592085
50,ADBE_1Minute_1Day,afternoon_2-4,8,31,10,1.0,0.002101878091469068
51,ADBE_1Minute_1Day,lunch_11-2,8,31,10,1.0,0.005978298715270341
52,ADBE_1Minute_1Day,morning_9-11,8,31,10,1.0,0.002355403259049785
53,HUT_30Minute_1Month,afternoon_2-4,7,23,9,1.0,0.2839180186842483
54,HUT_30Minute_1Month,lunch_11-2,7,23,9,1.0,0.025420057951665916
55,HUT_30Minute_1Month,morning_9-11,7,23,9,1.0,0.02477935054121559
56,AZN_30Minute_1Month,afternoon_2-4,11,27,12,1.0,0.02230209668741898
57,AZN_30Minute_1Month,lunch_11-2,11,27,12,1.0,0.010450938649119442
58,AZN_30Minute_1Month,morning_9-11,11,27,12,1.0,0.02457511286007188
59,HUT_1Day_1Year,Day,9,20,12,1.0,1.929275782655529
60,LULU_30Minute_1Month,afternoon_2-4,10,21,11,1.0,0.14672348285944553
61,LULU_30Minute_1Month,lunch_11-2,10,21,11,1.0,0.04198585739540357
62,LULU_30Minute_1Month,morning_9-11,10,21,11,1.0,0.030773490862100926
63,WCN_2Hour_6Month,afternoon_2-4,11,22,12,1.0,0.05350081502302868
64,WCN_2Hour_6Month,lunch_11-2,11,22,12,1.0,0.09497530384498029
65,WCN_2Hour_6Month,morning_9-11,11,22,12,1.0,0.07436451075223055
66,RIOT_1Hour_3Month,afternoon_2-4,7,26,8,1.0,0.0738685231163688
67,RIOT_1Hour_3Month,lunch_11-2,7,26,8,1.0,0.2609637460417502
68,RIOT_1Hour_3Month,morning_9-11,7,26,8,1.0,0.1851092395707152
69,TSLA_2Hour_6Month,afternoon_2-4,10,32,11,1.0,0.028918492645198916
70,TSLA_2Hour_6Month,lunch_11-2,10,32,11,1.0,0.2442422807718541
71,TSLA_2Hour_6Month,morning_9-11,10,32,11,1.0,0.43096775744736926
72,AER_1Minute_1Day,afternoon_2-4,7,24,8,1.0,0.008842074677954139
73,AER_1Minute_1Day,lunch_11-2,7,24,8,1.0,0.015243281099705875
74,AER_1Minute_1Day,morning_9-11,7,24,8,1.0,0.011046694297673888
75,WCN_5Minute_5Day,afternoon_2-4,9,25,11,1.0,0.016367349190449042
76,WCN_5Minute_5Day,lunch_11-2,9,25,11,1.0,0.01180129986215344
77,WCN_5Minute_5Day,morning_9-11,9,25,11,1.0,0.024556056520498054
78,HD_1Hour_3Month,afternoon_2-4,8,23,10,1.0,0.09107818754833055
79,HD_1Hour_3Month,lunch_11-2,8,23,10,1.0,0.12658557546700602
