symbol,shortName,longName,exchange,market,quoteType
AAPL,apple,Apple Inc.,NASDAQ,us_market,EQUITY
MSFT,microsoft,Microsoft Corporation,NASDAQ,us_market,EQUITY
JPM,jpmorgan-chase,JP Morgan Chase & Co.,NYSE,us_market,EQUITY
V,visa,Visa Inc.,NYSE,us_market,EQUITY
UNH,unitedhealth,UnitedHealth Group Incorporated,NYSE,us_market,EQUITY
JNJ,johnson-and-johnson,Johnson & Johnson,NYSE,us_market,EQUITY
WMT,walmart,Walmart Inc.,NYSE,us_market,EQUITY
HD,home-depot,"Home Depot, Inc. (The)",NYSE,us_market,EQUITY
PG,procter-and-gamble,Procter & Gamble Company (The),NYSE,us_market,EQUITY
DIS,walt-disney,Walt Disney Company (The),NYSE,us_market,EQUITY
KO,coca-cola,Coca-Cola Company (The),NYSE,us_market,EQUITY
CSCO,cisco,"Cisco Systems, Inc.",NASDAQ,us_market,EQUITY
CVX,chevron,Chevron Corporation,NYSE,us_market,EQUITY
NKE,nike,"Nike, Inc.",NYSE,us_market,EQUITY
CRM,salesforce-com,Salesforce.com Inc,NYSE,us_market,EQUITY
INTC,intel,Intel Corporation,NASDAQ,us_market,EQUITY
VZ,verizon,Verizon Communications Inc.,NYSE,us_market,EQUITY
MRK,merck-and-co,"Merck & Company, Inc.",NYSE,us_market,EQUITY
MCD,mcdonalds,McDonald's Corporation,NYSE,us_market,EQUITY
HON,honeywell,Honeywell International Inc.,NASDAQ,us_market,EQUITY
BA,boeing,Boeing Company (The),NYSE,us_market,EQUITY
AMGN,amgen,Amgen Inc.,NASDAQ,us_market,EQUITY
AXP,american-express,American Express Company,NYSE,us_market,EQUITY
GS,goldman-sachs,"Goldman Sachs Group, Inc. (The)",NYSE,us_market,EQUITY
CAT,caterpillar,"Caterpillar, Inc.",NYSE,us_market,EQUITY
IBM,international-bus-mach,International Business Machines Corporation,NYSE,us_market,EQUITY
MMM,3m,3M Company,NYSE,us_market,EQUITY
WBA,walgreens-boots-alliance,"Walgreens Boots Alliance, Inc.",NASDAQ,us_market,EQUITY
DOW,dow,Dow Inc.,NYSE,us_market,EQUITY
TRV,travelers,"The Travelers Companies, Inc.",NYSE,us_market,EQUITY
