symbol,shortName,longName,exchange,market,quoteType
AMZN,amazon,"Amazon.com, Inc.",NASDAQ,us_market,EQUITY
TSLA,tesla,"Tesla, Inc.",NASDAQ,us_market,EQUITY
PEP,pepsico,"PepsiCo, Inc.",NASDAQ,us_market,EQUITY
NFLX,netflix,"Netflix, Inc.",NASDAQ,us_market,EQUITY
COST,costco-wholesale,Costco Wholesale Corporation,NASDAQ,us_market,EQUITY
PYPL,paypal,"PayPal Holdings, Inc.",NASDAQ,us_market,EQUITY
HON,honeywell,Honeywell International Inc.,NASDAQ,us_market,EQUITY
SBUX,starbucks,Starbucks Corporation,NASDAQ,us_market,EQUITY
JD,jd-com,"JD.com, Inc.",NASDAQ,us_market,EQUITY
ABNB,airbnb,"Airbnb, Inc.",NASDAQ,us_market,EQUITY
BKNG,booking,Booking Holdings Inc. Common Stock,NASDAQ,us_market,EQUITY
ADP,automatic-data-processing,"Automatic Data Processing, Inc.",NASDAQ,us_market,EQUITY
MDLZ,mondelez,"Mondelez International, Inc.",NASDAQ,us_market,EQUITY
RIVN,rivian,"Rivian Automotive, Inc.",NASDAQ,us_market,EQUITY
PDD,pinduoduo,Pinduoduo Inc.,NASDAQ,us_market,EQUITY
FISV,fiserv,"Fiserv, Inc.",NASDAQ,us_market,EQUITY
LCID,lucid-group,"Lucid Group, Inc.",NASDAQ,us_market,EQUITY
NTES,netease,"NetEase, Inc.",NASDAQ,us_market,EQUITY
MELI,mercadolibre,"MercadoLibre, Inc.",NASDAQ,us_market,EQUITY
EXC,exelon,Exelon Corporation,NASDAQ,us_market,EQUITY
KDP,keurig-dr-pepper,Keurig Dr Pepper Inc.,NASDAQ,us_market,EQUITY
MAR,marriott,Marriott International,NASDAQ,us_market,EQUITY
ATVI,activision-blizzard,"Activision Blizzard, Inc",NASDAQ,us_market,EQUITY
MNST,monster-beverage,Monster Beverage Corporation,NASDAQ,us_market,EQUITY
ORLY,o-reilly-auto,"O'Reilly Automotive, Inc.",NASDAQ,us_market,EQUITY
WBA,walgreens-boots-alliance,"Walgreens Boots Alliance, Inc.",NASDAQ,us_market,EQUITY
KHC,kraft-heinz,The Kraft Heinz Company,NASDAQ,us_market,EQUITY
AEP,american-electric-power,"American Electric Power Company, Inc.",NASDAQ,us_market,EQUITY
PAYX,paychex,"Paychex, Inc.",NASDAQ,us_market,EQUITY
LULU,lululemon-athletica,lululemon athletica inc.,NASDAQ,us_market,EQUITY
CTAS,cintas,Cintas Corporation,NASDAQ,us_market,EQUITY
EBAY,ebay,eBay Inc.,NASDAQ,us_market,EQUITY
XEL,xcel-energy,Xcel Energy Inc.,NASDAQ,us_market,EQUITY
EA,electronic-arts,Electronic Arts Inc.,NASDAQ,us_market,EQUITY
ROST,ross-stores,"Ross Stores, Inc.",NASDAQ,us_market,EQUITY
TTD,the-trade-desk,"The Trade Desk, Inc.",NASDAQ,us_market,EQUITY
FAST,fastenal,Fastenal Company,NASDAQ,us_market,EQUITY
CPRT,copart,"Copart, Inc.",NASDAQ,us_market,EQUITY
VRSK,verisk-analytics,"Verisk Analytics, Inc.",NASDAQ,us_market,EQUITY
FWONA,liberty-media,Liberty Media Corporation - Series A Liberty Formula One,NASDAQ,us_market,EQUITY
FWONK,liberty-media,Liberty Media Corporation - Series C Liberty Formula One,NASDAQ,us_market,EQUITY
LI,li,Li Auto Inc.,NASDAQ,us_market,EQUITY
DLTR,dollar-tree,"Dollar Tree, Inc.",NASDAQ,us_market,EQUITY
ZBRA,zebra,Zebra Technologies Corporation,NASDAQ,us_market,EQUITY
BKR,baker-hughes,Baker Hughes Company,NASDAQ,us_market,EQUITY
EXPE,expedia,"Expedia Group, Inc.",NASDAQ,us_market,EQUITY
CCEP,coca-cola,Coca-Cola Europacific Partners plc,NASDAQ,us_market,EQUITY
TSCO,tractor-supply,Tractor Supply Company,NASDAQ,us_market,EQUITY
SIRI,sirius-xm,Sirius XM Holdings Inc.,NASDAQ,us_market,EQUITY
VIACA,viacomcbs,ViacomCBS Inc.,NASDAQ,us_market,EQUITY
VIAC,viacomcbs,ViacomCBS Inc.,NASDAQ,us_market,EQUITY
FANG,diamondback,"Diamondback Energy, Inc. - Commmon Stock",NASDAQ,us_market,EQUITY
GRAB,grab,Grab Holdings Limited,NASDAQ,us_market,EQUITY
FOX,fox,Fox Corporation,NASDAQ,us_market,EQUITY
FOXA,fox,Fox Corporation,NASDAQ,us_market,EQUITY
WMG,,Warner Music Group Corp.,NASDAQ,us_market,EQUITY
ETSY,etsy,"Etsy, Inc.",NASDAQ,us_market,EQUITY
AFRM,affirm,"Affirm Holdings, Inc.",NASDAQ,us_market,EQUITY
ULTA,ulta-beauty,"Ulta Beauty, Inc.",NASDAQ,us_market,EQUITY
POOL,pool,Pool Corporation,NASDAQ,us_market,EQUITY
ENPH,enphase-energy,"Enphase Energy, Inc.",NASDAQ,us_market,EQUITY
TRMB,trimble,Trimble Inc.,NASDAQ,us_market,EQUITY
CZR,caesars,"Caesars Entertainment, Inc.",NASDAQ,us_market,EQUITY
TTWO,take-two-interactive-software,"Take-Two Interactive Software, Inc.",NASDAQ,us_market,EQUITY
LSXMB,liberty-media,Liberty Media Corporation - Series B Liberty SiriusXM,NASDAQ,us_market,EQUITY
LKQ,lkq,LKQ Corporation,NASDAQ,us_market,EQUITY
LSXMK,liberty-media,Liberty Media Corporation - Series C Liberty SiriusXM,NASDAQ,us_market,EQUITY
LSXMA,liberty-media,Liberty Media Corporation - Series A Liberty SiriusXM,NASDAQ,us_market,EQUITY
TCOM,trip-com-group,Trip.com Group Limited,NASDAQ,us_market,EQUITY
IEP,icahn-enterprises,Icahn Enterprises L.P. - Depositary,NASDAQ,us_market,EQUITY
LNT,alliant-energy,Alliant Energy Corporation,NASDAQ,us_market,EQUITY
OLPX,olaplex,"Olaplex Holdings, Inc.",NASDAQ,us_market,EQUITY
DISCA,discovery,"Discovery, Inc. - Series A",NASDAQ,us_market,EQUITY
DISCK,discovery,"Discovery, Inc. - Series C",NASDAQ,us_market,EQUITY
LYFT,lyft,"Lyft, Inc.",NASDAQ,us_market,EQUITY
HAS,hasbro,"Hasbro, Inc.",NASDAQ,us_market,EQUITY
NDSN,nordson,Nordson Corporation,NASDAQ,us_market,EQUITY
SEDG,solaredge-technologies,"SolarEdge Technologies, Inc.",NASDAQ,us_market,EQUITY
PLUG,plug-power,"Plug Power, Inc.",NASDAQ,us_market,EQUITY
