symbol,shortName,longName,exchange,market,quoteType
AAPL,apple,Apple Inc.,NASDAQ,us_market,EQUITY
MSFT,microsoft,Microsoft Corporation,NASDAQ,us_market,EQUITY
GOOGL,alphabet,Alphabet Inc.,NASDAQ,us_market,EQUITY
GOOG,alphabet,Alphabet Inc.,NASDAQ,us_market,EQUITY
FB,meta-platforms,"Meta Platforms, Inc.",NASDAQ,us_market,EQUITY
NVDA,nvidia,NVIDIA Corporation,NASDAQ,us_market,EQUITY
ASML,asml,ASML Holding N.V. - New York Registry Shares,NASDAQ,us_market,EQUITY
AVGO,broadcom,Broadcom Inc.,NASDAQ,us_market,EQUITY
ADBE,adobe,Adobe Inc.,NASDAQ,us_market,EQUITY
INTC,intel,Intel Corporation,NASDAQ,us_market,EQUITY
QCOM,qualcomm,QUALCOMM Incorporated,NASDAQ,us_market,EQUITY
TXN,texas-instruments,Texas Instruments Incorporated,NASDAQ,us_market,EQUITY
AMD,advanced-micro-devices,"Advanced Micro Devices, Inc.",NASDAQ,us_market,EQUITY
INTU,intuit,Intuit Inc.,NASDAQ,us_market,EQUITY
AMAT,applied-materials,"Applied Materials, Inc.",NASDAQ,us_market,EQUITY
MU,micron-technology,"Micron Technology, Inc.",NASDAQ,us_market,EQUITY
LRCX,lam-research,Lam Research Corporation,NASDAQ,us_market,EQUITY
ADI,analog-devices,"Analog Devices, Inc.",NASDAQ,us_market,EQUITY
TEAM,atlassian,Atlassian Corporation Plc,NASDAQ,us_market,EQUITY
MRVL,marvell-tech,"Marvell Technology, Inc.",NASDAQ,us_market,EQUITY
KLAC,kla-tencor,KLA Corporation,NASDAQ,us_market,EQUITY
WDAY,workday,"Workday, Inc.",NASDAQ,us_market,EQUITY
NXPI,nxp-semiconductors,NXP Semiconductors N.V.,NASDAQ,us_market,EQUITY
ADSK,autodesk,"Autodesk, Inc.",NASDAQ,us_market,EQUITY
BIDU,baidu,"Baidu, Inc.",NASDAQ,us_market,EQUITY
FTNT,fortinet,"Fortinet, Inc.",NASDAQ,us_market,EQUITY
SNPS,synopsys,"Synopsys, Inc.",NASDAQ,us_market,EQUITY
PANW,palo-alto-networks,"Palo Alto Networks, Inc.",NASDAQ,us_market,EQUITY
XLNX,xilinx,"Xilinx, Inc.",NASDAQ,us_market,EQUITY
ZM,zoom-video-communications,"Zoom Video Communications, Inc.",NASDAQ,us_market,EQUITY
MCHP,microchip-technology,Microchip Technology Incorporated,NASDAQ,us_market,EQUITY
CTSH,cognizant,Cognizant Technology Solutions Corporation,NASDAQ,us_market,EQUITY
CDNS,cadence-design-systems,"Cadence Design Systems, Inc.",NASDAQ,us_market,EQUITY
DDOG,datadog,"Datadog, Inc.",NASDAQ,us_market,EQUITY
CRWD,crowdstrike,"CrowdStrike Holdings, Inc.",NASDAQ,us_market,EQUITY
ZS,zscaler,"Zscaler, Inc.",NASDAQ,us_market,EQUITY
MTCH,match-group-inc,"Match Group, Inc.",NASDAQ,us_market,EQUITY
GFS,globalfoundries,GlobalFoundries Inc.,NASDAQ,us_market,EQUITY
OKTA,okta,"Okta, Inc.",NASDAQ,us_market,EQUITY
ANSS,ansys,"ANSYS, Inc.",NASDAQ,us_market,EQUITY
ON,on-semiconductor,ON Semiconductor Corporation,NASDAQ,us_market,EQUITY
TER,teradyne,"Teradyne, Inc.",NASDAQ,us_market,EQUITY
