symbol,shortName,longName,exchange,market,quoteType
CSCO,cisco,"Cisco Systems, Inc.",NASDAQ,us_market,EQUITY
CMCSA,comcast,Comcast Corporation,NASDAQ,us_market,EQUITY
TMUS,t-mobile,"T-Mobile US, Inc.",NASDAQ,us_market,EQUITY
CHTR,charter,"Charter Communications, Inc.",NASDAQ,us_market,EQUITY
VOD,vodafone,Vodafone Group Plc,NASDAQ,us_market,EQUITY
ERIC,ericsson,Ericsson,NASDAQ,us_market,EQUITY
LBRDA,liberty-broadband,Liberty Broadband Corporation,NASDAQ,us_market,EQUITY
LBRDK,liberty-broadband,Liberty Broadband Corporation,NASDAQ,us_market,EQUITY
ROKU,roku,"Roku, Inc.",NASDAQ,us_market,EQUITY
DISH,dish-network,DISH Network Corporation,NASDAQ,us_market,EQUITY
NICE,nice,NICE Ltd,NASDAQ,us_market,EQUITY
LBTYK,liberty-global,Liberty Global plc,NASDAQ,us_market,EQUITY
LBTYA,liberty-global,Liberty Global plc,NASDAQ,us_market,EQUITY
LBTYB,liberty-global,Liberty Global plc,NASDAQ,us_market,EQUITY
LITE,lumentum-hldgs,Lumentum Holdings Inc.,NASDAQ,us_market,EQUITY
FYBR,,"Frontier Communications Parent, Inc.",NASDAQ,us_market,EQUITY
VG,vonage-hldgs-corporation,Vonage Holdings Corp.,NASDAQ,us_market,EQUITY
IRDM,iridium-communications,Iridium Communications Inc,NASDAQ,us_market,EQUITY
VIAV,viavi-solutions,Viavi Solutions Inc.,NASDAQ,us_market,EQUITY
VSAT,viasat,"ViaSat, Inc.",NASDAQ,us_market,EQUITY
CCOI,cogent-communications-holdings,"Cogent Communications Holdings, Inc.",NASDAQ,us_market,EQUITY
VEON,veon,VEON Ltd.,NASDAQ,us_market,EQUITY
TIGO,millicom,Millicom International Cellular S.A.,NASDAQ,us_market,EQUITY
LILA,liberty-latin-america,Liberty Latin America Ltd.,NASDAQ,us_market,EQUITY
LILAK,liberty-latin-america,Liberty Latin America Ltd.,NASDAQ,us_market,EQUITY
SATS,echostar,EchoStar Corporation,NASDAQ,us_market,EQUITY
IDCC,interdigital,"InterDigital, Inc.",NASDAQ,us_market,EQUITY
COMM,commscope,"CommScope Holding Company, Inc.",NASDAQ,us_market,EQUITY
INFN,,Infinera Corporation,NASDAQ,us_market,EQUITY
EXTR,extreme-networks,"Extreme Networks, Inc.",NASDAQ,us_market,EQUITY
PTNR,,Partner Communications Company Ltd.,NASDAQ,us_market,EQUITY
GOGO,gogo,Gogo Inc.,NASDAQ,us_market,EQUITY
SHEN,shenandoah-telecomunications,Shenandoah Telecommunications Co,NASDAQ,us_market,EQUITY
ASTS,ast-spacemobile,"AST SpaceMobile, Inc.",NASDAQ,us_market,EQUITY
HLIT,,Harmonic Inc.,NASDAQ,us_market,EQUITY
AUDC,audiocodes,AudioCodes Ltd.,NASDAQ,us_market,EQUITY
ATEX,,Anterix Inc.,NASDAQ,us_market,EQUITY
CLFD,,"Clearfield, Inc.",NASDAQ,us_market,EQUITY
