symbol,shortName,longName,exchange,market,quoteType
AAPL,apple,Apple Inc.,NASDAQ,us_market,EQUITY
MSFT,microsoft,Microsoft Corporation,NASDAQ,us_market,EQUITY
GOOGL,alphabet,Alphabet Inc.,NASDAQ,us_market,EQUITY
GOOG,alphabet,Alphabet Inc.,NASDAQ,us_market,EQUITY
AMZN,amazon,"Amazon.com, Inc.",NASDAQ,us_market,EQUITY
TSLA,tesla,"Tesla, Inc.",NASDAQ,us_market,EQUITY
FB,meta-platforms,"Meta Platforms, Inc.",NASDAQ,us_market,EQUITY
NVDA,nvidia,NVIDIA Corporation,NASDAQ,us_market,EQUITY
ASML,asml,ASML Holding N.V. - New York Registry Shares,NASDAQ,us_market,EQUITY
CSCO,cisco,"Cisco Systems, Inc.",NASDAQ,us_market,EQUITY
AVGO,broadcom,Broadcom Inc.,NASDAQ,us_market,EQUITY
ADBE,adobe,Adobe Inc.,NASDAQ,us_market,EQUITY
PEP,pepsico,"PepsiCo, Inc.",NASDAQ,us_market,EQUITY
CMCSA,comcast,Comcast Corporation,NASDAQ,us_market,EQUITY
NFLX,netflix,"Netflix, Inc.",NASDAQ,us_market,EQUITY
COST,costco-wholesale,Costco Wholesale Corporation,NASDAQ,us_market,EQUITY
INTC,intel,Intel Corporation,NASDAQ,us_market,EQUITY
QCOM,qualcomm,QUALCOMM Incorporated,NASDAQ,us_market,EQUITY
PYPL,paypal,"PayPal Holdings, Inc.",NASDAQ,us_market,EQUITY
TXN,texas-instruments,Texas Instruments Incorporated,NASDAQ,us_market,EQUITY
AMD,advanced-micro-devices,"Advanced Micro Devices, Inc.",NASDAQ,us_market,EQUITY
INTU,intuit,Intuit Inc.,NASDAQ,us_market,EQUITY
HON,honeywell,Honeywell International Inc.,NASDAQ,us_market,EQUITY
AMAT,applied-materials,"Applied Materials, Inc.",NASDAQ,us_market,EQUITY
TMUS,t-mobile,"T-Mobile US, Inc.",NASDAQ,us_market,EQUITY
AMGN,amgen,Amgen Inc.,NASDAQ,us_market,EQUITY
SBUX,starbucks,Starbucks Corporation,NASDAQ,us_market,EQUITY
JD,jd-com,"JD.com, Inc.",NASDAQ,us_market,EQUITY
CHTR,charter,"Charter Communications, Inc.",NASDAQ,us_market,EQUITY
ISRG,intuitive-surgical,"Intuitive Surgical, Inc.",NASDAQ,us_market,EQUITY
MU,micron-technology,"Micron Technology, Inc.",NASDAQ,us_market,EQUITY
ABNB,airbnb,"Airbnb, Inc.",NASDAQ,us_market,EQUITY
BKNG,booking,Booking Holdings Inc. Common Stock,NASDAQ,us_market,EQUITY
LRCX,lam-research,Lam Research Corporation,NASDAQ,us_market,EQUITY
ADP,automatic-data-processing,"Automatic Data Processing, Inc.",NASDAQ,us_market,EQUITY
MDLZ,mondelez,"Mondelez International, Inc.",NASDAQ,us_market,EQUITY
GILD,gilead,"Gilead Sciences, Inc.",NASDAQ,us_market,EQUITY
ADI,analog-devices,"Analog Devices, Inc.",NASDAQ,us_market,EQUITY
MRNA,moderna,"Moderna, Inc.",NASDAQ,us_market,EQUITY
CSX,csx,CSX Corporation,NASDAQ,us_market,EQUITY
TEAM,atlassian,Atlassian Corporation Plc,NASDAQ,us_market,EQUITY
PDD,pinduoduo,Pinduoduo Inc.,NASDAQ,us_market,EQUITY
FISV,fiserv,"Fiserv, Inc.",NASDAQ,us_market,EQUITY
