symbol,shortName,longName,exchange,market,quoteType
CSX,csx,CSX Corporation,NASDAQ,us_market,EQUITY
ODFL,old-dominion,"Old Dominion Freight Line, Inc.",NASDAQ,us_market,EQUITY
PCAR,paccar,PACCAR Inc.,NASDAQ,us_market,EQUITY
RYAAY,ryanair,Ryanair Holdings plc,NASDAQ,us_market,EQUITY
JBHT,j-b-hunt,"J.B. Hunt Transport Services, Inc.",NASDAQ,us_market,EQUITY
EXPD,expeditors,"Expeditors International of Washington, Inc.",NASDAQ,us_market,EQUITY
UAL,united-airlines,"United Airlines Holdings, Inc.",NASDAQ,us_market,EQUITY
CHRW,ch-robinson,"C.H. Robinson Worldwide, Inc.",NASDAQ,us_market,EQUITY
AAL,american-airlines-group,"American Airlines Group, Inc.",NASDAQ,us_market,EQUITY
WSC,,WillScot Mobile Mini Holdings Corp.,NASDAQ,us_market,EQUITY
SAIA,saia,"Saia, Inc.",NASDAQ,us_market,EQUITY
LSTR,landstar-systems,"Landstar System, Inc.",NASDAQ,us_market,EQUITY
TSP,tusimple,TuSimple Holdings Inc.,NASDAQ,us_market,EQUITY
JBLU,jetblue,JetBlue Airways Corporation,NASDAQ,us_market,EQUITY
ARVL,arrival,Arrival,NASDAQ,us_market,EQUITY
NKLA,nikolamotor,Nikola Corporation,NASDAQ,us_market,EQUITY
ALGT,allegiant-travel-company,Allegiant Travel Company,NASDAQ,us_market,EQUITY
ULCC,frontier,"Frontier Group Holdings, Inc.",NASDAQ,us_market,EQUITY
WERN,werner-enterprises,"Werner Enterprises, Inc.",NASDAQ,us_market,EQUITY
FWRD,forward-air,Forward Air Corporation,NASDAQ,us_market,EQUITY
HUBG,hub-group,"Hub Group, Inc.",NASDAQ,us_market,EQUITY
OMAB,grupo-aeroportuario-del-centro-nort,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,NASDAQ,us_market,EQUITY
AAWW,atlas-air-worldwide,Atlas Air Worldwide Holdings,NASDAQ,us_market,EQUITY
ARCB,arcbest-corporation,ArcBest Corporation,NASDAQ,us_market,EQUITY
SBLK,star-bulk-carriers,Star Bulk Carriers Corp.,NASDAQ,us_market,EQUITY
PTRA,proterra,Proterra Inc,NASDAQ,us_market,EQUITY
SKYW,skywest,"SkyWest, Inc.",NASDAQ,us_market,EQUITY
ATSG,air-transport-services,"Air Transport Services Group, Inc",NASDAQ,us_market,EQUITY
MGRC,mcgrath-rentcorp,McGrath RentCorp,NASDAQ,us_market,EQUITY
GOGL,golden-ocean-group,Golden Ocean Group Limited,NASDAQ,us_market,EQUITY
SHYF,,"The Shyft Group, Inc.",NASDAQ,us_market,EQUITY
HEES,,"H&E Equipment Services, Inc.",NASDAQ,us_market,EQUITY
SNCY,sun-country-airlines,"Sun Country Airlines Holdings, Inc.",NASDAQ,us_market,EQUITY
MRTN,marten-transport,"Marten Transport, Ltd.",NASDAQ,us_market,EQUITY
HYZN,hyzon-motors,Hyzon Motors Inc.,NASDAQ,us_market,EQUITY
HTLD,heartland-express,"Heartland Express, Inc.",NASDAQ,us_market,EQUITY
HA,hawaiian,"Hawaiian Holdings, Inc.",NASDAQ,us_market,EQUITY
ELMS,,"Electric Last Mile Solutions, Inc.",NASDAQ,us_market,EQUITY
PTSI,p-a-resources-berhad,"P.A.M. Transportation Services, Inc.",NASDAQ,us_market,EQUITY
SP,,SP Plus Corporation,NASDAQ,us_market,EQUITY
TRMD,,TORM plc,NASDAQ,us_market,EQUITY
WKHS,workhorse,"Workhorse Group, Inc.",NASDAQ,us_market,EQUITY
DSKE,daseke,"Daseke, Inc.",NASDAQ,us_market,EQUITY
EGLE,,Eagle Bulk Shipping Inc.,NASDAQ,us_market,EQUITY
YELL,yellow-corporation,Yellow Corporation,NASDAQ,us_market,EQUITY
IDEX,ideanomics,"Ideanomics, Inc.",NASDAQ,us_market,EQUITY
BLBD,,Blue Bird Corporation,NASDAQ,us_market,EQUITY
